song_id,chroma_stft_mean,chroma_stft_var,mfccs_mean,mfccs_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_contrast_mean,spectral_contrast_var,tonnetz_mean,tonnetz_var,rms_mean,rms_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,beat_histogram
afrikaans_hip_hop_41,0.49582654,0.090472475,5.3884997,952.71436,2449.2699144373896,1556742.1842122173,2618.7561154185737,280162.95191628824,22.24119041807091,123.9836763702879,0.011982713845171206,0.039083083629795574,0.35768086,0.014492582,5248.423862457275,5218204.050148653,0.08446540832519531,0.008386385202029487,135.99917763157896,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_42,0.3737622,0.09276314,-4.4355645,850.7421,3054.7395349109775,1270524.611913241,2646.935807417263,289283.52160534885,22.68383656897473,106.60603551583426,-0.03397533527710491,0.012744923815566139,0.20590165,0.006554874,6031.307201385498,4048290.4826618894,0.15864067077636718,0.00934992976122885,143.5546875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_43,0.3932157,0.099234216,1.6873558,1531.7842,2080.132010561532,737170.6953287628,2348.6577159611384,208138.83139106128,23.033431613296468,148.8598382838984,0.014054127522715145,0.014539985759310991,0.18980727,0.0064974353,4644.602565765381,3074134.7630289523,0.07775650024414063,0.004223963799304329,89.10290948275862,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_44,0.4586331,0.0878948,6.9681315,796.9936,2623.2281939641557,1403687.063984658,2540.3805383095932,298251.11911601434,22.70162430491149,156.80194041394273,0.03328758023434525,0.017024316286147638,0.24620882,0.0070082312,5314.966506958008,4542731.296168168,0.12076148986816407,0.006742521806008881,89.10290948275862,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_45,0.5196604,0.07717943,6.024421,389.8651,3461.7428456537405,612430.1037523823,2923.7523191158625,89829.951945203,21.56000360043485,123.67408590829805,-0.0035812148562687288,0.013267299209052527,0.22359273,0.010741859,7008.948268890381,1123828.9806355864,0.16031150817871093,0.007435070273786549,99.38401442307692,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_46,0.36773306,0.10334943,-2.3634155,2054.0208,2594.267316319609,1573274.1580895684,2378.1930850396475,480668.68171570107,24.56691604321916,141.06989939882774,0.01685665466449506,0.0071031615217344145,0.20887454,0.016966421,5215.501613616943,4982464.447463527,0.12733802795410157,0.011098021943907953,112.34714673913044,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_47,0.4619407,0.08437659,7.410851,1200.3658,2732.9823745067492,2107889.675468553,2675.798571888441,370179.6343703608,22.30580779237452,134.5915292366437,-0.061373062093897285,0.018580942945954436,0.25973752,0.011701146,5541.510944366455,5568202.467502385,0.08703575134277344,0.0031117628327046983,143.5546875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_48,0.41656148,0.08671044,1.7541478,2461.5464,2959.680922128426,2479399.513314753,3064.023188138317,319288.4168663059,22.99538394954991,117.65293520547199,0.014560560358103679,0.02825990933398522,0.15406069,0.00396062,6464.275989532471,7466788.338523108,0.12345085144042969,0.012741024204151474,143.5546875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_49,0.4751896,0.078324415,8.4439125,752.84875,2061.825446221411,443359.7963926237,2548.864971656422,133290.82321631451,22.442783185766885,174.1827623556226,0.017684036537456635,0.004592526371760267,0.34426543,0.021287689,4731.181182861328,2512352.123774565,0.06759872436523437,0.002689540334395133,123.046875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_5,0.493287,0.08449144,7.7761497,1007.91437,2240.6287596893594,1078008.3110049136,2624.546941655722,305035.17315635894,20.904848597769277,145.67524285165456,-0.001665989880114104,0.0025836745219293233,0.37980652,0.03970409,5103.991584777832,4807577.922097394,0.08774909973144532,0.005141834443056723,129.19921875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_50,0.3392251,0.102854155,-0.94663644,2106.872,1989.7432902228466,1175484.6696277359,2296.3433033935135,322410.355175513,23.305492299765383,113.43598995295835,0.012799091002518807,0.015455941955227105,0.17307004,0.004242007,4069.581928253174,4861454.2210165635,0.07820243835449218,0.00455650813979446,92.28515625,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_51,0.3999025,0.08742797,-0.11662745,849.6881,2557.9303363302065,729809.9763211485,2569.105276346546,203030.03156849218,23.329851633329227,139.6935403629906,0.02050808567411632,0.008168480533090978,0.19782999,0.006891483,5557.635612487793,2639010.0526953912,0.11402397155761719,0.004336917666805676,99.38401442307692,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_52,0.46239284,0.08803163,6.554141,864.75116,2409.2366617361745,992777.8907620832,2661.1330596033367,213186.03616595286,21.402375182873147,142.88281106207583,-8.887289143744585e-05,0.0030916387801102185,0.31152868,0.023160316,5362.701244354248,3514657.81438697,0.10017547607421876,0.005983569750096648,129.19921875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_53,0.3121886,0.09604876,4.569541,1025.4248,2356.5506775950616,1084299.7831462529,2657.4608682141707,280962.5427207507,23.21724906934251,109.16544125250476,0.02399588278229699,0.0059561922955084275,0.31371835,0.011373915,5148.900089263916,4867844.235555032,0.09164276123046874,0.00519140334567055,123.046875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_54,0.5416371,0.07771827,7.3413563,1038.1274,2638.5574678340186,1019144.4424901763,2948.0992054177977,231545.85674490136,23.21500446137148,134.41718294482308,-0.04593080200369513,0.02364174794800392,0.28812733,0.0041871085,6306.208820343018,3448516.6489600083,0.05366020202636719,0.0015029037707427052,143.5546875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_55,0.43473804,0.09212651,0.32685155,1233.0916,2778.5007356041765,1256200.4427321437,2600.7140314598087,222646.23496315675,24.91273051445682,146.76465448666517,0.006111825486470768,0.007590732378066153,0.22696261,0.018077737,5664.54460144043,4160005.9844544106,0.13538665771484376,0.009557793920394034,92.28515625,[1 0 0 ... 0 0 1]
